hotel_id,city,name,address,postalcode
293,Captain Cook,Pomaika'i Lucky Farm BB,835465 Mamalahoa Hwy,96704
294,Captiva,"Jensen's ""On the Gulf""",15300 Captiva Dr,33924
295,Carlisle,"Country Inn & Suites By Carlson, Carlisle, PA",1529 Commerce Ave,17015
296,Carlisle,Pike Motel,1121 Harrisburg Pike,17013
297,Carlisle,Rodeway Inn,1239 Harrisburg Pike,17013
298,Carmel,Hampton Inn Indianapolis/carmel,12197 N Meridian St,46032
299,Carmel,Holiday Inn Express & Suites Carmel-north Indianapolis,15131 Thatcher Ln,46033
300,Carmel,Residence Inn Indianapolis Carmel,11895 N Meridian St,46032
301,Carmel Valley,Blue Sky Lodge,10 Flight Rd,93924
302,Carpinteria,Holiday Inn Express & Suites Carpinteria,5606 Carpinteria Ave,93013
303,Carrollton,Americas Best Value Inn Suites Carrollton,1111 Bankhead Hwy,30117
304,Carrollton,Hampton Inn Carrollton,7 Slumber Ln,41008
305,Cartersville,Lake Allatoona Inn,632 Old Allatoona Rd Se,30121
306,Cary,Comfort Suites-regency Park,350 Ashville Ave,27518
307,Cass,Bear Creek Lodge,Route 66,24927
308,Cassville,Schleichers Landing,7110 Closing Dam Rd,53806
309,Cave City,Motel 6 Cave City Ky,102 Gardner Ln,42127
310,Cañon City,Americas Best Value Inn & Suites Canon City,1925 Fremont Dr,81212
311,Cedar City,M-Star Cedar City,190 S Main St,84720
312,Cedar Rapids,Best Western Cooper's Mill Hotel,100 F Ave NW,52405
313,Cedar Rapids,Hampton Inn & Suites Cedar Rapids North,1130 Park Pl Ne,52402
314,Cedar Rapids,Quality Inn,4747 1st Ave Se,52402
315,Celina,Celina Motel,225 S Main St,45822
316,Center,Best Western Plus Classic Inn Suites,210 Moffitt Dr,75935
317,Center Rutland,Jen's Motel,1122 Business Route 4,5736
318,Chadron,Best Western West Hills Inn,1100 W 10th St,69337
319,Chalmette,Best Western Plus Chalmette Hotel,3400 Paris Rd,70043
320,Chama,Little Creel Resort,2631 S. Hwy 84-64,87520
321,Chandler,Best Western Inn of Chandler,950 N Arizona Ave,85225
322,Chandler,Redwood Motel,470 N Arizona Ave,85225
323,Chandler,SpringHill Suites Phoenix Chandler/Fashion Center,225 N Metro Blvd,85226-3194
